id	output
{"blockNumber":"21905600","chainId":59144,"vaultAddress":"0xa8A02E6a894a490D04B6cd480857A19477854968"}	{"name": "EVK Vault eWETH-1", "asset": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f", "oracle": "0xeeb05f8BEB1ddf86225D50faF153e0F5C9Af3b1A", "symbol": "eWETH-1", "decimals": 18, "unitOfAccount": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"}
{"blockNumber":"21905606","chainId":59144,"vaultAddress":"0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4"}	{"name": "EVK Vault eweETH-1", "asset": "0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6", "oracle": "0xeeb05f8BEB1ddf86225D50faF153e0F5C9Af3b1A", "symbol": "eweETH-1", "decimals": 18, "unitOfAccount": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"}
{"blockNumber":"21995206","chainId":59144,"vaultAddress":"0x179DfD3eCDC6f5B8F8788584F3289D10c6F1afb8"}	{"name": "EVK Vault eWETH-4", "asset": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f", "oracle": "0xfeaE75cE05158CB1Db71dbb58cA8C42416A5b4BF", "symbol": "eWETH-4", "decimals": 18, "unitOfAccount": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"}
{"blockNumber":"22090957","chainId":59144,"vaultAddress":"0xF29ac58e23904Ce3057afe2F9c430c87703DA982"}	{"name": "EVK Vault eWETH-5", "asset": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f", "oracle": "0xF39FB216Cd28b39dE7181e1C0084048b8C0a8539", "symbol": "eWETH-5", "decimals": 18, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
{"blockNumber":"22092761","chainId":59144,"vaultAddress":"0xd890507bb7F760294ACc0d99Ac7243144D6Dc5d3"}	{"name": "EVK Vault eWETH-6", "asset": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f", "oracle": "0xF39FB216Cd28b39dE7181e1C0084048b8C0a8539", "symbol": "eWETH-6", "decimals": 18, "unitOfAccount": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"}
{"blockNumber":"22202515","chainId":59144,"vaultAddress":"0xb135dcF653DAFB5ddAa93F926D7000Aa3222EFEE"}	{"name": "EVK Vault eWETH-7", "asset": "0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f", "oracle": "0xBA58e4EeF157c689903c2a3723c846400075eA79", "symbol": "eWETH-7", "decimals": 18, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
{"blockNumber":"22204633","chainId":59144,"vaultAddress":"0xB770dc4be757Ad72BCb7b8FF4958FB5c6Ee5Aa49"}	{"name": "EVK Vault ewstETH-3", "asset": "0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F", "oracle": "0xBA58e4EeF157c689903c2a3723c846400075eA79", "symbol": "ewstETH-3", "decimals": 18, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
{"blockNumber":"22215629","chainId":59144,"vaultAddress":"0x92Ba0dED54184ab00f7EdD1bc5Eba488cC8d9dE0"}	{"name": "EVK Vault eweETH-2", "asset": "0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6", "oracle": "0xBA58e4EeF157c689903c2a3723c846400075eA79", "symbol": "eweETH-2", "decimals": 18, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
{"blockNumber":"22217292","chainId":59144,"vaultAddress":"0x085f80Df643307e04f23281F6fdbfAA13865E852"}	{"name": "EVK Vault eUSDT-2", "asset": "0xA219439258ca9da29E9Cc4cE5596924745e12B93", "oracle": "0xa1fCf1e25BcF561bEB3633fBff5DbCEdD2d31977", "symbol": "eUSDT-2", "decimals": 6, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
{"blockNumber":"22506054","chainId":59144,"vaultAddress":"0xE27C2571F6D1b942bBB438a37b0171C64B469e1F"}	{"name": "EVK Vault eUSDC-3", "asset": "0x176211869cA2b568f2A7D4EE941E073a821EE1ff", "oracle": "0x1cAB13bf8Df38ca11a69Ff5eb2328F06182a4Ee6", "symbol": "eUSDC-3", "decimals": 6, "unitOfAccount": "0x0000000000000000000000000000000000000348"}
