id	output
{"assetAddress":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","chainId":1,"timestamp":"1704893255"}	{"price": 2740.88}
{"assetAddress":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","chainId":1,"timestamp":"1704893255"}	{"price": 1}
{"assetAddress":"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","chainId":1,"timestamp":"1706751323"}	{"price": 41851}
{"assetAddress":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","chainId":1,"timestamp":"1706751323"}	{"price": 1}
{"assetAddress":"0x6B175474E89094C44Da98b954EedeAC495271d0F","chainId":1,"timestamp":"1707678143"}	{"price": 1.0001068871459047}
{"assetAddress":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","chainId":1,"timestamp":"1707678143"}	{"price": 1}
{"assetAddress":"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","chainId":1,"timestamp":"1707789947"}	{"price": 49930}
{"assetAddress":"0xdAC17F958D2ee523a2206206994597C13D831ec7","chainId":1,"timestamp":"1707789947"}	{"price": 1.001}
{"assetAddress":"0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee","chainId":1,"timestamp":"1708212023"}	{"price": 2870.31}
{"assetAddress":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","chainId":1,"timestamp":"1708212023"}	{"price": 2779.94}
{"assetAddress":"0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee","chainId":1,"timestamp":"1709732723"}	{"price": 3979.91}
{"assetAddress":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","chainId":1,"timestamp":"1709732723"}	{"price": 3871.78}
{"assetAddress":"0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee","chainId":1,"timestamp":"1709744459"}	{"price": 3951.61}
