id	output
{"blockNumber":"15755448","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332009", "supplyShares": "0", "collateralAmount": "1000000000000000"}
{"blockNumber":"15755505","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332052", "supplyShares": "0", "collateralAmount": "1000000000000000"}
{"blockNumber":"15755755","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332051", "supplyShares": "0", "collateralAmount": "999999730629373"}
{"blockNumber":"15756122","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332050", "supplyShares": "0", "collateralAmount": "999999461769130"}
{"blockNumber":"15757508","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332050", "supplyShares": "0", "collateralAmount": "999999192908887"}
{"blockNumber":"15757552","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332050", "supplyShares": "0", "collateralAmount": "999998924309332"}
{"blockNumber":"15806773","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAd51E3A2111Bd289aeb6D790D8FEf95614cEDec8"}	{"borrowAmount": "3332095", "supplyShares": "0", "collateralAmount": "999998655709777"}
{"blockNumber":"18002347","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x54E44100Ac8Ec85838780B0eC9cc76f1283dD37D"}	{"borrowAmount": "21073417", "supplyShares": "0", "collateralAmount": "8259742701356710"}
{"blockNumber":"16400173","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x54E44100Ac8Ec85838780B0eC9cc76f1283dD37D"}	{"borrowAmount": "10000256", "supplyShares": "0", "collateralAmount": "3379552201897675"}
{"blockNumber":"16620691","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x46690400e562505aD2DFeF36545CC369bc5E88df"}	{"borrowAmount": "146", "supplyShares": "0", "collateralAmount": "50000000000"}
{"blockNumber":"16620802","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x237536551C891Af6d8b4Fa33cbc9fdE4962Fa18d"}	{"borrowAmount": "177", "supplyShares": "0", "collateralAmount": "60000000000"}
{"blockNumber":"16622859","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x917710940B4Bb2DA69660B549efC2F8a70E8041E"}	{"borrowAmount": "146", "supplyShares": "0", "collateralAmount": "51900000000"}
{"blockNumber":"16621708","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xd6Dfd4E5Bc964065b6dfD12f10f8e0Cf235Bd6f7"}	{"borrowAmount": "902", "supplyShares": "0", "collateralAmount": "300840716006"}
{"blockNumber":"16620641","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x027BBF9C4024c3CCD0Bc82ebA5FF61B7F152042a"}	{"borrowAmount": "282", "supplyShares": "0", "collateralAmount": "100000000000"}
{"blockNumber":"16619447","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xeea0be92302c423613CFf918f5c4C6F47ceE6eaF"}	{"borrowAmount": "69", "supplyShares": "0", "collateralAmount": "24000000000"}
{"blockNumber":"16619396","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x889B9f1d2dd022723BEaB2d1CDf23af943fc227b"}	{"borrowAmount": "113068", "supplyShares": "0", "collateralAmount": "38503000000000"}
{"blockNumber":"16621865","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xCdd78400A0272Cff80b70FFF4A98F69BC6bd6ff4"}	{"borrowAmount": "132", "supplyShares": "0", "collateralAmount": "46000000000"}
{"blockNumber":"16635076","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xd4352B01f263d850553Fb1E863E0b57c142249CC"}	{"borrowAmount": "358", "supplyShares": "0", "collateralAmount": "130000000000"}
{"blockNumber":"16619089","chainId":8453,"marketId":"0xf24417ee06adc0b0836cf0dbec3ba56c1059f62f53a55990a38356d42fa75fa2","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xb395cE59B1027038800252137E0DD13965C8dfF6"}	{"borrowAmount": "3123162555", "supplyShares": "0", "collateralAmount": "1189237264582030493"}
{"blockNumber":"16621830","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x18171c5Af21C71c8702A3A37EF19dD1631c560B4"}	{"borrowAmount": "3173", "supplyShares": "0", "collateralAmount": "1057692779428"}
{"blockNumber":"16656773","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x1632727F41394Aa41801c988Bf547bD5800d7083"}	{"borrowAmount": "3271", "supplyShares": "0", "collateralAmount": "1216793539978"}
{"blockNumber":"16634542","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x9e99A283B0958b760E9607659DBf87c2a6BA83e7"}	{"borrowAmount": "6044968082", "supplyShares": "0", "collateralAmount": "2179726735939411862"}
{"blockNumber":"16619381","chainId":8453,"marketId":"0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xeb33AB4F9CB15a4bf0Ea7c22098999de71710d8D"}	{"borrowAmount": "4372297", "supplyShares": "0", "collateralAmount": "1425462490583381"}
{"blockNumber":"16620767","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0x13269705d48A886A59B5D69715E257Db06123A78"}	{"borrowAmount": "199", "supplyShares": "0", "collateralAmount": "70000000000"}
{"blockNumber":"18002153","chainId":8453,"marketId":"0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda","morphoAddress":"0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb","userAddress":"0xAB21d8cDc48a196A13B8Fc7422A779ff2bF422cf"}	{"borrowAmount": "18420241556", "supplyShares": "0", "collateralAmount": "7959805826478352034"}
