id	output
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"20674390","chainId":1,"inAmount":"181391814453791502","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"20674390","chainId":1,"inAmount":"426013075","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 425985720700454240000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"20692763","chainId":1,"inAmount":"8074426936596344124","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 18303433956954057000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"20692763","chainId":1,"inAmount":"18108117688","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 18108157344777738000000}
{"base":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","blockNumber":"20694111","chainId":1,"inAmount":"40335398260534252342","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"20694111","chainId":1,"inAmount":"101680464580","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 101680687260217430000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"20789441","chainId":1,"inAmount":"268879224","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 268865758528462100000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"20789441","chainId":1,"inAmount":"104410759014427090","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 265630733338670370000}
{"base":"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","blockNumber":"21339286","chainId":1,"inAmount":"387423150","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 364191490266113900000000}
{"base":"0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf","blockNumber":"21339286","chainId":1,"inAmount":"358701730","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 354965124891410000000000}
{"base":"0x8236a87084f8B84306f72007F36F2618A5634494","blockNumber":"21339289","chainId":1,"inAmount":"293735690","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 277069126949400000000000}
{"base":"0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf","blockNumber":"21339289","chainId":1,"inAmount":"278970626","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 276064581844113650000000}
{"base":"0x8236a87084f8B84306f72007F36F2618A5634494","blockNumber":"21339294","chainId":1,"inAmount":"1635727784","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1556847416763525800000000}
{"base":"0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf","blockNumber":"21339294","chainId":1,"inAmount":"1548444242","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1532314058674232400000000}
{"base":"0x8c9532a60E0E7C6BbD2B2c1303F63aCE1c3E9811","blockNumber":"21384440","chainId":1,"inAmount":"34814477585787083","oracle":"0xa62Fa63445fADA0e90949778f8C84003F6D69004","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21384440","chainId":1,"inAmount":"40719703815194896","oracle":"0xa62Fa63445fADA0e90949778f8C84003F6D69004","quote":"0x0000000000000000000000000000000000000348"}	{"price": 160312107720609300000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21497000","chainId":1,"inAmount":"171349928913","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 171341167791134680000000}
{"base":"0xDD629E5241CbC5919847783e6C96B2De4754e438","blockNumber":"21497000","chainId":1,"inAmount":"170043203571095313724100","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 170043203571095300000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21501013","chainId":1,"inAmount":"9884226994","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9884226994000000000000}
{"base":"0xDD629E5241CbC5919847783e6C96B2De4754e438","blockNumber":"21501013","chainId":1,"inAmount":"9848458903724699881580","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9848458903724700000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21501676","chainId":1,"inAmount":"9463578","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9463578000000000000}
{"base":"0xDD629E5241CbC5919847783e6C96B2De4754e438","blockNumber":"21501676","chainId":1,"inAmount":"9223261222824704907","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9223261222824705000}
{"base":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","blockNumber":"21557467","chainId":1,"inAmount":"5271499970739172392","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21557467","chainId":1,"inAmount":"22631427043","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 22630886378207944000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21557708","chainId":1,"inAmount":"6662595","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 6662435830605450000}
{"base":"0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD","blockNumber":"21557708","chainId":1,"inAmount":"6069101834751125277","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 6217262782009375000}
{"base":"0xDD629E5241CbC5919847783e6C96B2De4754e438","blockNumber":"21557731","chainId":1,"inAmount":"29445600057220447058","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"unknown","blockNumber":"70101948","chainId":43114,"inAmount":"774284131138877858263","oracle":"unknown","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21557731","chainId":1,"inAmount":"25029358","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 25028760048637380000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21557753","chainId":1,"inAmount":"20827176","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 20826678438765360000}
{"base":"0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf","blockNumber":"21557753","chainId":1,"inAmount":"20337","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 19977581898889368000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21557858","chainId":1,"inAmount":"48959825","oracle":"0xa62Fa63445fADA0e90949778f8C84003F6D69004","quote":"0x0000000000000000000000000000000000000348"}	{"price": 48958655349780750000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21557858","chainId":1,"inAmount":"12194139051652352","oracle":"0xa62Fa63445fADA0e90949778f8C84003F6D69004","quote":"0x0000000000000000000000000000000000000348"}	{"price": 44062789814802680000}
{"base":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","blockNumber":"21572763","chainId":1,"inAmount":"99993317708387","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 432532460898489800}
{"base":"0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf","blockNumber":"21572763","chainId":1,"inAmount":"413","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 422627148937598500}
{"base":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","blockNumber":"21573389","chainId":1,"inAmount":"46591864627301414905","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21573389","chainId":1,"inAmount":"193366001063","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 193359148171922330000000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21580370","chainId":1,"inAmount":"8339359749728959","oracle":"0x0000000000000000000000000000000000000000","quote":"0x0000000000000000000000000000000000000348"}	{"price": 0}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21580370","chainId":1,"inAmount":"23827980","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 23825245501015200000}
{"base":"0x35D8949372D46B7a3D5A56006AE77B215fc69bC0","blockNumber":"21592841","chainId":1,"inAmount":"38269088514846088944733","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 36017020009343183000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21592841","chainId":1,"inAmount":"34575909851","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 34574475296500280000000}
{"base":"0x35D8949372D46B7a3D5A56006AE77B215fc69bC0","blockNumber":"21593239","chainId":1,"inAmount":"9770251795103720420242","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9058789484775631000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21593239","chainId":1,"inAmount":"8646791881","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 8646753575711967000000}
{"base":"0x35D8949372D46B7a3D5A56006AE77B215fc69bC0","blockNumber":"21593528","chainId":1,"inAmount":"20358117050877877223332","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 18737778073768986000000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21593528","chainId":1,"inAmount":"17580103387","oracle":"0xA77a6CeABD36B261C4DDeA5A7528EFed7299F627","quote":"0x0000000000000000000000000000000000000348"}	{"price": 17580091256728663000000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21617503","chainId":1,"inAmount":"3325760935932236","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9968684071354829000}
{"base":"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","blockNumber":"21617503","chainId":1,"inAmount":"9983","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 9191705435433545000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21637981","chainId":1,"inAmount":"7963091","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 7962613453432730000}
{"base":"0xDD629E5241CbC5919847783e6C96B2De4754e438","blockNumber":"21637981","chainId":1,"inAmount":"7021757487572878297","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 7021757487572878000}
{"base":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","blockNumber":"21748308","chainId":1,"inAmount":"226569059","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 226563952133410130000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21748308","chainId":1,"inAmount":"67336957287986772","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 224164236466863200000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21762842","chainId":1,"inAmount":"2476766726460512544","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 6080724107703545000000}
{"base":"0xdAC17F958D2ee523a2206206994597C13D831ec7","blockNumber":"21762842","chainId":1,"inAmount":"5564780911","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 5564264944513932000000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21763424","chainId":1,"inAmount":"493043238686954414","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1246962458959870200000}
{"base":"0xdAC17F958D2ee523a2206206994597C13D831ec7","blockNumber":"21763424","chainId":1,"inAmount":"1068166336","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1068067295617326100000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21763441","chainId":1,"inAmount":"899410220498663939","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 2274710800524213700000}
{"base":"0x8236a87084f8B84306f72007F36F2618A5634494","blockNumber":"21763441","chainId":1,"inAmount":"2259121","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 2129485850631359700000}
{"base":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","blockNumber":"21764762","chainId":1,"inAmount":"471975543656532222","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1217367227716609000000}
{"base":"0x8236a87084f8B84306f72007F36F2618A5634494","blockNumber":"21764762","chainId":1,"inAmount":"1232884","oracle":"0x83B3b76873D36A28440cF53371dF404c42497136","quote":"0x0000000000000000000000000000000000000348"}	{"price": 1177106499005163400000}
